epoch,train_loss,val_bce,val_l1,val_l1_linear,val_l1_mel,val_waveform
0,9.752286924256218,0.5514417886734009,0.37672842236665577,0.22844365926889273,0.01482847655335298,0.040424528889931165
1,9.744476980633205,0.5123416987749246,0.3455017369527083,0.2111971343939121,0.013430460212895503,0.03785893578942005
2,10.228004455566406,0.4942615788716536,0.329018602004418,0.19950236609348884,0.012951623720045272,0.03668129014281126
3,10.803209344546,0.49071945135410017,0.3238165286871103,0.19632377074314997,0.012749275622459559,0.03574178568445719
4,10.99287858274248,0.4788561807228969,0.3216374057989854,0.19428752821225387,0.012734987486440402,0.03504542218377957
5,11.261824793285793,0.47730305332403916,0.30793272990446824,0.18658132278002226,0.012135140812740875,0.034297970768350824
6,11.340192092789543,0.47378246371562666,0.3012583255767822,0.18310665969665235,0.011815166100859642,0.03352995904592367
7,11.47606360912323,0.4770847008778499,0.296052309182974,0.18120450698412383,0.011484780277197178,0.03423463811094944
8,11.471169047885471,0.4582276619397677,0.2914953392285567,0.17735049701653993,0.011414484049265202,0.03246717427212458
9,11.456384301185608,0.4445011684527764,0.2837973374586839,0.17252410719027886,0.011127322912216187,0.03213250837646998
10,11.541039109230042,0.46213892102241516,0.3011127160145686,0.18304022344259116,0.011807249285853826,0.03256597011708296
11,11.551517102453444,0.4461541405090919,0.2884001342149881,0.1750546647952153,0.011334546698400607,0.03205192877122989
12,11.616439263025919,0.45483741622704726,0.27181644852344805,0.16635822103573725,0.01054582236191401,0.031055770098016813
13,11.554296533266703,0.4433892277570871,0.27633093068232906,0.1688367208609214,0.010749420939156642,0.031125550516522847
14,11.624061054653591,0.4335856575232286,0.266235976265027,0.16302927640768197,0.01032066961320547,0.0305173580463116
15,11.673289325502184,0.44230942313487714,0.2662908515104881,0.16210763041789716,0.01041832179404222,0.030348957587893192
16,11.661711030536228,0.4446837420646961,0.27426865009161144,0.16696526110172272,0.010730339070925346,0.030684333151349656
17,11.6006338596344,0.44085639944443333,0.2670676341423622,0.16237154029882872,0.010469609298385106,0.030399158023870908
18,11.570146865314907,0.43083484126971316,0.26385888571922594,0.16170577590282148,0.010215311454465756,0.030268892645835876
19,11.742976427078247,0.4328403564599844,0.26439118729187894,0.1619192694242184,0.010247191629157616,0.03025421600502271
